,Register,Create Questionnaire,Send Questionnaire,Skip Questionnaire,Receive Questionnaire Response,High Medical History,High Insurance Check,Contact Hospital,Low Medical History,Low Insurance Check,Decide Claim,Prepare Notification Content,Send Notification by Post,Notify by Post,Send Notification by e-mail,Notify by e-mail,Send Notification by Phone,Notify by Phone,Archive
532,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1472,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1797,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
3135,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
564,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1798,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1425,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1210,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1837,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
867,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
134,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
263,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1264,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
889,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2851,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1431,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
299,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2011,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2764,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1723,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
430,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1487,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1502,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2905,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2315,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2262,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1385,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1364,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1298,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1867,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
929,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
368,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1788,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
3128,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
3000,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1080,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
594,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
969,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1538,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2323,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2887,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
354,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
174,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1402,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
506,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2822,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1556,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1697,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
572,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1572,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1071,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3007,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
387,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1991,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2930,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1446,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2838,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
184,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
254,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
507,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
442,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
945,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1730,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
809,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
314,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
631,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1206,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
44,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2415,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
596,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
139,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1151,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2522,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2325,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2719,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2594,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1940,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
414,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2252,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
705,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2862,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3187,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1718,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2442,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
887,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2743,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
693,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2624,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2019,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2464,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2928,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2210,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1706,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
479,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1437,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
52,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
240,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2649,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
51,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1963,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
63,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2998,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
194,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
449,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2440,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1467,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1344,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
239,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1660,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
120,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2166,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
324,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
962,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
298,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
70,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1133,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
676,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1138,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1780,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
270,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
178,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2334,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
864,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2921,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1317,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
291,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1271,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2979,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1993,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1800,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1003,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2813,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
457,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
527,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1948,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2606,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2754,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
926,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2195,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
678,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
218,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2254,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1507,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2467,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
410,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
346,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1766,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1242,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
727,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1662,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
322,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3052,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
76,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1859,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1114,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1036,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
144,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
203,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
432,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
45,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3054,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2698,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1767,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3189,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2953,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1878,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2551,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1336,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
152,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2952,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2040,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
942,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1933,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1233,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
765,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3067,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2338,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2478,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1945,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
794,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1427,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1474,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2656,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
789,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
501,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2222,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1237,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
944,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2620,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
211,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
32,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
879,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2588,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
14,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
93,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2281,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2517,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
149,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
309,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
785,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2025,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2023,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1670,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1978,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
691,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
423,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1399,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1744,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2907,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1566,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
680,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1351,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2302,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
554,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
3015,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2914,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2639,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
188,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1159,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1404,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2700,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1860,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
411,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1221,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1022,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1426,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1278,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
246,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
685,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1575,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
3098,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
810,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
557,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2766,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1562,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
949,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2718,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1263,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
439,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1825,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1295,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2808,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
621,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1918,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2360,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2845,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2134,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1729,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
175,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
582,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
331,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2228,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2154,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1657,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1106,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2378,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1732,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
857,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3111,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2229,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2820,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1957,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3046,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2653,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2857,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1671,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1820,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2555,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
798,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
679,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2581,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2071,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2012,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
266,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2574,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
