,CaseId,Register,Create Questionnaire,Send Questionnaire,Skip Questionnaire,Receive Questionnaire Response,High Medical History,High Insurance Check,Contact Hospital,Low Medical History,Low Insurance Check,Decide Claim,Prepare Notification Content,Send Notification by Post,Notify by Post,Send Notification by e-mail,Notify by e-mail,Send Notification by Phone,Notify by Phone,Archive
3114,3114,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2069,2069,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
332,332,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2203,2203,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1491,1491,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
256,256,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
900,900,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3027,3027,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
538,538,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1289,1289,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1748,1748,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2968,2968,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
642,642,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2314,2314,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1590,1590,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1359,1359,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2188,2188,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1411,1411,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
3043,3043,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
321,321,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1135,1135,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1803,1803,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1559,1559,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
567,567,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
511,511,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
251,251,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
257,257,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
532,532,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1472,1472,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1797,1797,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
3135,3135,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
564,564,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1798,1798,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1425,1425,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1210,1210,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1837,1837,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
867,867,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
134,134,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
263,263,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1264,1264,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
889,889,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2851,2851,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1431,1431,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
299,299,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2011,2011,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2764,2764,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1723,1723,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
430,430,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1487,1487,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1502,1502,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2905,2905,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2315,2315,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2262,2262,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1385,1385,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1364,1364,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1298,1298,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1867,1867,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
929,929,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
368,368,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1788,1788,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
3128,3128,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
3000,3000,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1080,1080,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
594,594,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
969,969,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1538,1538,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2323,2323,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2887,2887,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
354,354,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
174,174,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1402,1402,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
506,506,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2822,2822,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1556,1556,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1697,1697,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
572,572,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1572,1572,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1071,1071,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3007,3007,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
387,387,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1991,1991,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2930,2930,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1446,1446,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2838,2838,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
184,184,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
254,254,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
507,507,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
442,442,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
945,945,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1730,1730,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
809,809,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
314,314,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
631,631,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1206,1206,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
44,44,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2415,2415,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
596,596,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
139,139,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1151,1151,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2522,2522,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2325,2325,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2719,2719,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2594,2594,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1940,1940,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
414,414,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2252,2252,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
705,705,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2862,2862,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3187,3187,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1718,1718,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2442,2442,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
887,887,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2743,2743,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
693,693,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2624,2624,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2019,2019,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2464,2464,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2928,2928,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2210,2210,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1706,1706,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
479,479,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1437,1437,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
52,52,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
240,240,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2649,2649,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
51,51,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1963,1963,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
63,63,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2998,2998,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
194,194,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
449,449,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2440,2440,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1467,1467,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1344,1344,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
239,239,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1660,1660,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
120,120,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2166,2166,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
324,324,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
962,962,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
298,298,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
70,70,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1133,1133,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
676,676,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1138,1138,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1780,1780,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
270,270,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
178,178,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2334,2334,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
864,864,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2921,2921,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1317,1317,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
291,291,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1271,1271,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2979,2979,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1993,1993,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1800,1800,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1003,1003,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2813,2813,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
457,457,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
527,527,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1948,1948,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2606,2606,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2754,2754,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
926,926,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2195,2195,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
678,678,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
218,218,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2254,2254,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1507,1507,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2467,2467,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
410,410,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
346,346,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1766,1766,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1242,1242,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
727,727,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1662,1662,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
322,322,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3052,3052,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
76,76,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1859,1859,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1114,1114,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1036,1036,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
144,144,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
203,203,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
432,432,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
45,45,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3054,3054,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2698,2698,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1767,1767,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3189,3189,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2953,2953,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1878,1878,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2551,2551,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1336,1336,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
152,152,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2952,2952,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2040,2040,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
942,942,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1933,1933,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1233,1233,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
765,765,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3067,3067,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2338,2338,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2478,2478,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1945,1945,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
794,794,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1427,1427,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1474,1474,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2656,2656,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
789,789,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
501,501,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2222,2222,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1237,1237,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
944,944,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2620,2620,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
211,211,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
32,32,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
879,879,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2588,2588,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
14,14,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
93,93,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2281,2281,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2517,2517,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
149,149,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
309,309,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
785,785,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2025,2025,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2023,2023,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1670,1670,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1978,1978,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
691,691,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
423,423,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1399,1399,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1744,1744,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2907,2907,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1566,1566,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
680,680,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1351,1351,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2302,2302,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
554,554,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
3015,3015,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2914,2914,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2639,2639,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
188,188,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1159,1159,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1404,1404,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2700,2700,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1860,1860,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
411,411,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1221,1221,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1022,1022,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1426,1426,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1278,1278,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
246,246,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
685,685,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1575,1575,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
3098,3098,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
810,810,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
557,557,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2766,2766,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1562,1562,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
949,949,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2718,2718,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1263,1263,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
439,439,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1825,1825,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1295,1295,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
2808,2808,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
621,621,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1918,1918,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2360,2360,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2845,2845,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2134,2134,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1729,1729,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
175,175,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
582,582,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
331,331,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2228,2228,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2154,2154,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1657,1657,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1106,1106,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
